date_number,counter
2017-02-12,0
2017-02-11,0
2017-02-10,0
2017-02-09,15
2017-02-08,56
2017-02-07,8
2017-02-06,123
2017-02-05,12
2017-02-04,22
2017-02-03,0
2017-02-02,0
2017-02-01,0
2017-01-31,0
2017-01-30,30
2017-01-29,10
2017-01-28,5
2017-01-27,14
2017-01-26,14
2017-01-25,18
2017-01-24,6
2017-01-23,0
2017-01-22,0
2017-01-21,0
2017-01-20,0
2017-01-19,15
2017-01-18,5
2017-01-17,4
2017-01-16,7
2017-01-15,19
2017-01-14,23
2017-01-13,0
2017-01-12,0
2017-01-11,0
2017-01-10,0
2017-01-09,8
2017-01-08,6
2017-01-07,0
2017-01-06,4
2017-01-05,6
2017-01-04,11
2017-01-03,0
2017-01-02,0
2017-01-01,0
2016-12-31,0
2016-12-30,0
2016-12-29,0
2016-12-28,0
2016-12-27,0
2016-12-26,0
2016-12-25,0
2016-12-24,0
2016-12-23,0
2016-12-22,0
2016-12-21,0
2016-12-20,0
2016-12-19,0
2016-12-18,0
2016-12-17,0
2016-12-16,0
2016-12-15,0
2016-12-14,0
2016-12-13,0
2016-12-12,0
2016-12-11,0
2016-12-10,0
2016-12-09,0
2016-12-08,0
2016-12-07,0
2016-12-06,0
2016-12-05,0
2016-12-04,0
2016-12-03,0
2016-12-02,0
2016-12-01,0
2016-11-30,0
2016-11-29,0
2016-11-28,0
2016-11-27,0
2016-11-26,0
2016-11-25,0
2016-11-24,0
2016-11-23,0
2016-11-22,0
2016-11-21,0
2016-11-20,0
2016-11-19,0
2016-11-18,0
2016-11-17,0
2016-11-16,0
2016-11-15,0
2016-11-14,0
2016-11-13,0
2016-11-12,0
2016-11-11,0
